2025-11-22 14:03:22.882 | MEXC | ETHUSDT | Sell | Price: 2731,06 | Qty: 7,06297 | Value: $19 289,39
2025-11-22 14:03:29.930 | MEXC | XRPUSDT | Sell | Price: 1,905 | Qty: 10937,72 | Value: $20 836,36
2025-11-22 14:03:35.417 | MEXC | BTCUSDT | Buy | Price: 84159,2 | Qty: 0,15668353 | Value: $13 186,36
2025-11-22 14:03:35.418 | MEXC | BTCUSDT | Buy | Price: 84159,2 | Qty: 0,15367066 | Value: $12 932,80
2025-11-22 14:03:35.420 | MEXC | BTCUSDT | Buy | Price: 84159,2 | Qty: 0,23803104 | Value: $20 032,50
2025-11-22 14:03:35.935 | MEXC | BTCUSDT | Buy | Price: 84159,28 | Qty: 0,17735604 | Value: $14 926,16
2025-11-22 14:03:35.935 | MEXC | BTCUSDT | Sell | Price: 84159,23 | Qty: 0,24712985 | Value: $20 798,26
2025-11-22 14:03:35.936 | MEXC | BTCUSDT | Buy | Price: 84159,27 | Qty: 0,27620228 | Value: $23 244,98
2025-11-22 14:03:38.418 | MEXC | BTCUSDT | Buy | Price: 84159,21 | Qty: 0,16845787 | Value: $14 177,28
2025-11-22 14:03:38.573 | MEXC | ETHUSDT | Sell | Price: 2731,94 | Qty: 6,38 | Value: $17 429,78
2025-11-22 14:03:39.421 | MEXC | BTCUSDT | Buy | Price: 84159,21 | Qty: 0,40118379 | Value: $33 763,31
2025-11-22 14:03:43.414 | MEXC | ETHUSDT | Sell | Price: 2731,16 | Qty: 4,87104 | Value: $13 303,59
2025-11-22 14:03:43.970 | MEXC | BTCUSDT | Sell | Price: 84143,91 | Qty: 0,2445131 | Value: $20 574,29
2025-11-22 14:03:44.081 | MEXC | BTCUSDT | Sell | Price: 84143,63 | Qty: 0,26113535 | Value: $21 972,88
2025-11-22 14:03:55.412 | MEXC | ETHUSDT | Sell | Price: 2731,44 | Qty: 10,22582 | Value: $27 931,21
2025-11-22 14:03:55.413 | MEXC | ETHUSDT | Sell | Price: 2731,44 | Qty: 88,96125 | Value: $242 992,32
2025-11-22 14:03:57.210 | MEXC | ETHUSDT | Sell | Price: 2731,43 | Qty: 3,66434 | Value: $10 008,89
2025-11-22 14:04:07.915 | MEXC | ETHUSDT | Sell | Price: 2731,82 | Qty: 3,68655 | Value: $10 070,99
2025-11-22 14:04:07.915 | MEXC | ETHUSDT | Sell | Price: 2731,82 | Qty: 4,22007 | Value: $11 528,47
2025-11-22 14:04:07.917 | MEXC | BTCUSDT | Buy | Price: 84172,86 | Qty: 0,36908516 | Value: $31 066,95
2025-11-22 14:04:07.919 | MEXC | BTCUSDT | Sell | Price: 84172,86 | Qty: 0,22409302 | Value: $18 862,55
2025-11-22 14:04:07.922 | MEXC | BTCUSDT | Buy | Price: 84172,86 | Qty: 0,37567571 | Value: $31 621,70
2025-11-22 14:04:11.423 | MEXC | BTCUSDT | Sell | Price: 84169,31 | Qty: 0,19387291 | Value: $16 318,15
2025-11-22 14:04:11.423 | MEXC | BTCUSDT | Buy | Price: 84169,31 | Qty: 0,41899907 | Value: $35 266,86
2025-11-22 14:04:21.417 | MEXC | BTCUSDT | Buy | Price: 84198,45 | Qty: 0,18029575 | Value: $15 180,62
2025-11-22 14:04:21.417 | MEXC | BTCUSDT | Sell | Price: 84198,44 | Qty: 0,18401289 | Value: $15 493,60
2025-11-22 14:04:23.983 | MEXC | SUIUSDT | Buy | Price: 1,3358 | Qty: 8973,81 | Value: $11 987,22
2025-11-22 14:04:32.426 | MEXC | XRPUSDT | Buy | Price: 1,9092 | Qty: 5560,85 | Value: $10 616,77
2025-11-22 14:04:37.417 | MEXC | BTCUSDT | Sell | Price: 84189,92 | Qty: 0,24240943 | Value: $20 408,43
2025-11-22 14:04:37.423 | MEXC | BTCUSDT | Sell | Price: 84189,94 | Qty: 0,39115192 | Value: $32 931,06
2025-11-22 14:04:40.926 | MEXC | BTCUSDT | Buy | Price: 84189,9 | Qty: 0,45794901 | Value: $38 554,68
2025-11-22 14:04:40.926 | MEXC | BTCUSDT | Buy | Price: 84189,9 | Qty: 0,27477511 | Value: $23 133,29
2025-11-22 14:04:41.918 | MEXC | BTCUSDT | Sell | Price: 84189,9 | Qty: 0,5232147 | Value: $44 049,39
2025-11-22 14:04:42.919 | MEXC | BTCUSDT | Buy | Price: 84189,89 | Qty: 0,20889646 | Value: $17 586,97
2025-11-22 14:04:42.920 | MEXC | BTCUSDT | Buy | Price: 84189,89 | Qty: 0,75520376 | Value: $63 580,52
2025-11-22 14:04:44.418 | MEXC | BTCUSDT | Buy | Price: 84192,73 | Qty: 0,12184584 | Value: $10 258,53
2025-11-22 14:04:49.355 | MEXC | BTCUSDT | Sell | Price: 84189,91 | Qty: 0,12125969 | Value: $10 208,84
2025-11-22 14:04:52.908 | MEXC | BTCUSDT | Buy | Price: 84200 | Qty: 0,28362528 | Value: $23 881,25
2025-11-22 14:04:53.426 | MEXC | BTCUSDT | Buy | Price: 84200 | Qty: 0,23752969 | Value: $20 000,00
2025-11-22 14:04:54.230 | MEXC | BTCUSDT | Buy | Price: 84200 | Qty: 0,23752969 | Value: $20 000,00
2025-11-22 14:04:54.276 | MEXC | BTCUSDT | Buy | Price: 84200 | Qty: 0,17106193 | Value: $14 403,41
2025-11-22 14:04:54.427 | MEXC | BTCUSDT | Buy | Price: 84200 | Qty: 0,22729043 | Value: $19 137,85
2025-11-22 14:04:57.552 | MEXC | ADAUSDT | Buy | Price: 0,396 | Qty: 29031,84 | Value: $11 496,61
2025-11-22 14:05:01.574 | MEXC | ARBUSDT | Buy | Price: 0,1981 | Qty: 51614,4 | Value: $10 224,81
2025-11-22 14:05:02.919 | MEXC | BTCUSDT | Sell | Price: 84196,74 | Qty: 0,14964301 | Value: $12 599,45
2025-11-22 14:05:07.513 | MEXC | BTCUSDT | Buy | Price: 84200 | Qty: 0,22711418 | Value: $19 123,01
2025-11-22 14:05:13.927 | MEXC | XRPUSDT | Buy | Price: 1,912 | Qty: 6771,64 | Value: $12 947,38
2025-11-22 14:05:15.216 | MEXC | BTCUSDT | Buy | Price: 84222,19 | Qty: 0,46464237 | Value: $39 133,20
2025-11-22 14:05:20.427 | MEXC | XRPUSDT | Buy | Price: 1,913 | Qty: 9399,7 | Value: $17 981,63
2025-11-22 14:05:20.428 | MEXC | XRPUSDT | Sell | Price: 1,913 | Qty: 13357,21 | Value: $25 552,34
2025-11-22 14:05:20.791 | MEXC | TRXUSDT | Sell | Price: 0,2746 | Qty: 49390,82 | Value: $13 562,72
2025-11-22 14:05:31.427 | MEXC | MOVEUSDT | Sell | Price: 0,05182 | Qty: 231552,57 | Value: $11 999,05
2025-11-22 14:05:31.427 | MEXC | MOVEUSDT | Sell | Price: 0,05182 | Qty: 246331,04 | Value: $12 764,87
2025-11-22 14:05:42.381 | MEXC | ETHUSDT | Buy | Price: 2733,68 | Qty: 5,71897 | Value: $15 633,83
2025-11-22 14:05:42.381 | MEXC | ETHUSDT | Sell | Price: 2733,68 | Qty: 10,09197 | Value: $27 588,22
2025-11-22 14:05:42.382 | MEXC | ETHUSDT | Sell | Price: 2733,68 | Qty: 9,19495 | Value: $25 136,05
2025-11-22 14:05:44.381 | MEXC | ETHUSDT | Buy | Price: 2733,76 | Qty: 5,65081 | Value: $15 447,96
2025-11-22 14:05:44.381 | MEXC | ETHUSDT | Buy | Price: 2733,76 | Qty: 4,31005 | Value: $11 782,64
2025-11-22 14:05:44.427 | MEXC | XRPUSDT | Buy | Price: 1,9092 | Qty: 5836,63 | Value: $11 143,29
2025-11-22 14:05:44.427 | MEXC | XRPUSDT | Buy | Price: 1,9092 | Qty: 6405,99 | Value: $12 230,32
2025-11-22 14:05:45.881 | MEXC | ETHUSDT | Buy | Price: 2733,77 | Qty: 4,14428 | Value: $11 329,51
2025-11-22 14:05:45.882 | MEXC | ETHUSDT | Buy | Price: 2733,77 | Qty: 8,8228 | Value: $24 119,51
2025-11-22 14:05:45.883 | MEXC | ETHUSDT | Sell | Price: 2733,77 | Qty: 12,6993 | Value: $34 716,97
2025-11-22 14:05:46.381 | MEXC | ETHUSDT | Sell | Price: 2733,76 | Qty: 5,6039 | Value: $15 319,72
2025-11-22 14:05:46.417 | MEXC | BTCUSDT | Buy | Price: 84212,87 | Qty: 0,27025995 | Value: $22 759,37
2025-11-22 14:05:46.417 | MEXC | BTCUSDT | Sell | Price: 84212,87 | Qty: 1,51339017 | Value: $127 446,93
2025-11-22 14:05:46.417 | MEXC | BTCUSDT | Sell | Price: 84212,87 | Qty: 2,24305355 | Value: $188 893,98
2025-11-22 14:05:46.913 | MEXC | ETHUSDT | Sell | Price: 2733,77 | Qty: 7,53311 | Value: $20 593,79
2025-11-22 14:05:46.914 | MEXC | ETHUSDT | Sell | Price: 2733,77 | Qty: 6,21788 | Value: $16 998,25
2025-11-22 14:05:46.915 | MEXC | ETHUSDT | Buy | Price: 2733,77 | Qty: 11,59835 | Value: $31 707,22
2025-11-22 14:05:46.917 | MEXC | BTCUSDT | Sell | Price: 84212,86 | Qty: 0,25183957 | Value: $21 208,13
2025-11-22 14:05:46.918 | MEXC | BTCUSDT | Sell | Price: 84212,86 | Qty: 0,12454325 | Value: $10 488,14
2025-11-22 14:05:47.418 | MEXC | BTCUSDT | Buy | Price: 84212,87 | Qty: 0,1290012 | Value: $10 863,56
2025-11-22 14:05:47.419 | MEXC | BTCUSDT | Buy | Price: 84212,87 | Qty: 0,25040067 | Value: $21 086,96
2025-11-22 14:05:47.917 | MEXC | BTCUSDT | Buy | Price: 84212,86 | Qty: 0,3271278 | Value: $27 548,37
2025-11-22 14:05:49.381 | MEXC | ETHUSDT | Sell | Price: 2733,76 | Qty: 18,34673 | Value: $50 155,56
2025-11-22 14:05:49.437 | MEXC | BTCUSDT | Buy | Price: 84214,56 | Qty: 0,12360683 | Value: $10 409,49
2025-11-22 14:05:49.437 | MEXC | BTCUSDT | Sell | Price: 84214,56 | Qty: 0,25635441 | Value: $21 588,77
2025-11-22 14:05:49.439 | MEXC | BTCUSDT | Sell | Price: 84214,55 | Qty: 0,19226937 | Value: $16 191,88
2025-11-22 14:05:49.912 | MEXC | ETHUSDT | Buy | Price: 2733,77 | Qty: 4,55332 | Value: $12 447,73
2025-11-22 14:06:07.918 | MEXC | BTCUSDT | Buy | Price: 84213,69 | Qty: 0,16183269 | Value: $13 628,53
2025-11-22 14:06:07.919 | MEXC | BTCUSDT | Buy | Price: 84213,72 | Qty: 0,18271248 | Value: $15 386,90
2025-11-22 14:06:09.881 | MEXC | ETHUSDT | Buy | Price: 2732,82 | Qty: 26,87286 | Value: $73 438,69
2025-11-22 14:06:09.883 | MEXC | ETHUSDT | Buy | Price: 2732,82 | Qty: 40,30906 | Value: $110 157,41
2025-11-22 14:06:32.419 | MEXC | ETHUSDT | Buy | Price: 2732,35 | Qty: 6,9976 | Value: $19 119,89
2025-11-22 14:06:32.917 | MEXC | BTCUSDT | Buy | Price: 84175,08 | Qty: 0,17267533 | Value: $14 534,96
2025-11-22 14:06:32.919 | MEXC | BTCUSDT | Sell | Price: 84175,08 | Qty: 0,22321027 | Value: $18 788,74
2025-11-22 14:06:33.419 | MEXC | BTCUSDT | Sell | Price: 84175,09 | Qty: 0,22626518 | Value: $19 045,89
2025-11-22 14:06:33.420 | MEXC | BTCUSDT | Sell | Price: 84175,09 | Qty: 0,30575874 | Value: $25 737,27
2025-11-22 14:06:35.417 | MEXC | BTCUSDT | Buy | Price: 84175,08 | Qty: 0,4361017 | Value: $36 708,90
2025-11-22 14:06:35.417 | MEXC | BTCUSDT | Sell | Price: 84175,08 | Qty: 0,39794405 | Value: $33 496,97
2025-11-22 14:06:35.418 | MEXC | BTCUSDT | Sell | Price: 84175,08 | Qty: 0,33253093 | Value: $27 990,82
2025-11-22 14:06:35.418 | MEXC | BTCUSDT | Buy | Price: 84175,08 | Qty: 0,512417 | Value: $43 132,74
2025-11-22 14:06:35.917 | MEXC | BTCUSDT | Sell | Price: 84175,09 | Qty: 0,53602352 | Value: $45 119,83
2025-11-22 14:06:35.917 | MEXC | BTCUSDT | Buy | Price: 84175,09 | Qty: 1,23283556 | Value: $103 774,04
2025-11-22 14:06:35.919 | MEXC | BTCUSDT | Sell | Price: 84175,09 | Qty: 3,53767538 | Value: $297 784,14
2025-11-22 14:06:36.918 | MEXC | BTCUSDT | Sell | Price: 84175,09 | Qty: 0,15631991 | Value: $13 158,24
2025-11-22 14:06:37.881 | MEXC | ETHUSDT | Sell | Price: 2732,34 | Qty: 4,38662 | Value: $11 985,74
2025-11-22 14:06:49.916 | MEXC | BTCUSDT | Buy | Price: 84188,15 | Qty: 0,14658791 | Value: $12 340,96
